@RELATION police-shootings-false-data

@ATTRIBUTE armed {True, False}
@ATTRIBUTE flee {True, False}
@ATTRIBUTE body_camera {True, False}
@ATTRIBUTE threat {True, False}
@ATTRIBUTE racism {True, False}

@DATA
True,True,True,False,False
?,False,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
?,True,False,False,False
?,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,True,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,?,False,False,False
True,True,False,False,False
?,True,False,False,False
True,?,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,True,False,False,False
?,True,True,False,False
?,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,True,False,False
True,True,True,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,True,False,False
?,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
?,?,True,False,False
?,True,True,False,False
?,False,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,?,False,False,False
True,True,True,False,False
True,?,False,False,False
?,False,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,?,False,False,False
True,?,False,False,False
True,?,False,False,False
?,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,?,False,False,False
True,?,True,False,False
True,True,False,False,False
?,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,True,False,False
?,True,False,False,False
?,True,False,False,False
?,True,False,False,False
True,True,True,False,False
True,True,True,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
?,False,False,False,False
True,True,False,False,False
True,True,False,False,False
?,False,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,?,True,False,False
True,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,True,False,False,False
?,True,False,False,False
True,?,False,False,False
?,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,True,False,False
True,True,True,False,False
True,True,False,False,False
True,True,True,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,True,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,True,False,False
True,True,True,False,False
True,?,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,True,False,False
True,?,True,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,False,False,False
True,True,False,False,False
True,True,False,False,False
True,True,False,False,False
True,?,True,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
True,True,True,False,False
True,True,False,False,False
